Part 135 Certificate Holder Name,Certificate Designator,CFR,FAA Certificate Holding District Office,Registration Number,Serial Number,Aircraft Make/Model/Series,Manufacturer
"24/7 Jet, Inc.",1C6A,135,WP01 - Van Nuys (VNY),N116HL,5113,CL-600-2B16,Bombardier
"24/7 Jet, Inc.",1C6A,135,WP01 - Van Nuys (VNY),N890TX,HA 00-10,HAWKER-900XP,Hawker
26 NORTH AVIATION INC,26NA,135,EA05 - Allentown (ABE),N80EM,0013,CE-750,Cessna
26 NORTH AVIATION INC,26NA,135,EA05 - Allentown (ABE),N82EM,9239,BD-700-1A10,Bombardier
3D Jets LLC,DDDA,135,EA23 - Rochester (ROC),N113DJ,60-307,LR-60-60,Bombardier (Learjet)
"4 W Air, LLC",SKOC,135,AL03 - Anchorage  (ANC),N454GG,U20606487,CE-206-U206G,Cessna
"40 Mile Air, Ltd.",FMAA,135,AL01 - Fairbanks (FAI),N734GW,U20604832,CE-206-U206G,Cessna
"40 Mile Air, Ltd.",FMAA,135,AL01 - Fairbanks (FAI),N26FC,U20602541,CE-206-U206F,Cessna
"40 Mile Air, Ltd.",FMAA,135,AL01 - Fairbanks (FAI),N4978C,U20603870,CE-206-U206G,Cessna
"40 Mile Air, Ltd.",FMAA,135,AL01 - Fairbanks (FAI),N5200X,U20605591,CE-206-U206G,Cessna
"40 Mile Air, Ltd.",FMAA,135,AL01 - Fairbanks (FAI),N207DG,20700070,CE-207-T207,Cessna
"40 Mile Air, Ltd.",FMAA,135,AL01 - Fairbanks (FAI),N1541F,1850896,CE-185-D,Cessna
A B FLIGHT SERVICES INC,A2BA,135,GL15 - Minneapolis (MSP),N518SB,139A,LR-55-C,Bombardier (Learjet)
A B FLIGHT SERVICES INC,A2BA,135,GL15 - Minneapolis (MSP),N263MS,138,LR-55-C,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N561AB,60-308,LR-60-60,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N502AB,60-318,LR-60-60,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N557AB,60-259,LR-60-60,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N503AB,60-311,LR-60-60,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N510AB,60-036,LR-60-60,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N509AB,60-073,LR-60-60,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N508AB,60-273,LR-60-60,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N506AB,60-266,LR-60-60,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N504AB,60-067,LR-60-60,Bombardier (Learjet)
Aberdeen Flying Service INC,BGJA,135,GL27 - Rapid City (RAP),N9692B,172RG0971,CE-172-RG,Cessna
Aberdeen Flying Service INC,BGJA,135,GL27 - Rapid City (RAP),N8298E,172N2184,CE-172-N,Cessna
Aberdeen Flying Service INC,BGJA,135,GL27 - Rapid City (RAP),N39BE,T21064889,CE-210-T210N,Cessna
Aberdeen Flying Service INC,BGJA,135,GL27 - Rapid City (RAP),N13KG,340A0215,CE-340-A,Cessna
Aberdeen Flying Service INC,BGJA,135,GL27 - Rapid City (RAP),N6829K,340A-1233,CE-340-A,Cessna
Aberdeen Flying Service INC,BGJA,135,GL27 - Rapid City (RAP),N4057C,414A0848,CE-414-A,Cessna
Aberdeen Flying Service INC,BGJA,135,GL27 - Rapid City (RAP),N425XP,425-0064,CE-425-425,Cessna
Aberdeen Flying Service INC,BGJA,135,GL27 - Rapid City (RAP),N441CT,441-0048,CE-441-441,Cessna
"Above All Aviation, Inc.",8WBA,135,WP01 - Van Nuys (VNY),N103SJ,20608101,CE-206-TU206H,Cessna
"AC Aviation Services, LLC.",I5VA,135,WP01 - Van Nuys (VNY),N770CJ,0078,CE-750,Cessna
ACADIAN SEAPLANES LLC,6KDA,135,EA65 - Portland (PWM),N531H,185-1348,CE-185-A185E,Cessna
ACADIAN SEAPLANES LLC,6KDA,135,EA65 - Portland (PWM),N819BB,5544,CE-208-B,Cessna
ACADIAN SEAPLANES LLC,6KDA,135,EA65 - Portland (PWM),N174LS,18503086,CE-185-A185F,Cessna
ACADIAN WEST AIR CHARTERS INC,1N1A,135,SW03 - Baton Rouge (BTR),N79RC,210-64697,CE-210-T210N,Cessna
ACCENT AIRWAYS LLC,8ACA,135,SO19 - Miami (MIA FSDO),N288HL,560-599,CE-500-560,Cessna
ACCENT AIRWAYS LLC,8ACA,135,SO19 - Miami (MIA FSDO),N305NC,208B5052,CE-208-208,Cessna
ACE AVIATION SERVICES CORPORATION,V6NA,135,SO19 - Miami (MIA FSDO),N699ST,5743,CL-600-2B16,Bombardier
ACE AVIATION SERVICES CORPORATION,V6NA,135,SO19 - Miami (MIA FSDO),N317RA,5596,CL-600-2B16 (CL-604),Bombardier
ACE AVIATION SERVICES CORPORATION,V6NA,135,SO19 - Miami (MIA FSDO),N858MY,6067,CL-600-2B16 (CL-604),Bombardier
ACE AVIATION SERVICES CORPORATION,V6NA,135,SO19 - Miami (MIA FSDO),N178MM,178,LR-60-60,Bombardier (Learjet)
ACE AVIATION SERVICES CORPORATION,V6NA,135,SO19 - Miami (MIA FSDO),N352XR,352,LR-60-60XR,Bombardier (Learjet)
ACE AVIATION SERVICES CORPORATION,V6NA,135,SO19 - Miami (MIA FSDO),N358JA,358,LR-60-60XR,Bombardier (Learjet)
ACE AVIATION SERVICES CORPORATION,V6NA,135,SO19 - Miami (MIA FSDO),N367LJ,367,LR-60-60XR,Bombardier (Learjet)
ACE AVIATION SERVICES CORPORATION,V6NA,135,SO19 - Miami (MIA FSDO),N650HJ,5653,CL-600-2B16,Bombardier
ACE AVIATION SERVICES CORPORATION,V6NA,135,SO19 - Miami (MIA FSDO),N60HJ,378,LR-60-60XR,Bombardier (Learjet)
ACE AVIATION SERVICES CORPORATION,V6NA,135,SO19 - Miami (MIA FSDO),N350HJ,20504,BD-100-1A10,Bombardier
"ACE TRANSPORT SERVICE, INC.",7ATA,135,EA17 - Philadelphia (PHL),N15TV,310R0945,CE-310-R,Cessna
"ACE TRANSPORT SERVICE, INC.",7ATA,135,EA17 - Philadelphia (PHL),N159FM,258651,HAWKER-800XP-800XP,Hawker
ACP Jet Charters Inc.,1JCA,135,GL21 - Fargo (FAR),N1111G,70011,BD-700-2A12,Bombardier
ACP Jet Charters Inc.,1JCA,135,GL21 - Fargo (FAR),N302AG,70173,BD-700-2A12,Bombardier
ACP Jet Charters Inc.,1JCA,135,GL21 - Fargo (FAR),N830EM,70170,BD-700-2A12,Bombardier
ACP Jet Charters Inc.,1JCA,135,GL21 - Fargo (FAR),N555MZ,70066,BD-700-2A12,Bombardier
ACP Jet Charters Inc.,1JCA,135,GL21 - Fargo (FAR),N806HK,9796,BD-700-1A10,Bombardier
ACP Jet Charters Inc.,1JCA,135,GL21 - Fargo (FAR),N916MM,60097,BD-700-1A10,Bombardier
"Action Air Express,  Inc.",QXNA,135,WP23 - Los Angeles (LAX),N747CA,421C0850,CE-421-C,Cessna
"Adam G. Sholton Co., LLC",O4LC,135,AL03 - Anchorage  (ANC),N5159R,18503011,CE-185-A185F,Cessna
"Adams, Bruce M",GNVA,135,SW01 - Albuquerque (ABQ),N73742,20700619,CE-207-T207,Cessna
"Adams, Bruce M",GNVA,135,SW01 - Albuquerque (ABQ),N4912E,182006828,CE-182-R,Cessna
ADDISON JET MANAGEMENT INC,I5JA,135,SW19 - North Texas FSDO (NTX),N724LS,525B-0075,CE-525-525B,Cessna
ADDISON JET MANAGEMENT INC,I5JA,135,SW19 - North Texas FSDO (NTX),N224GB,307,LR-45-45,Bombardier (Learjet)
ADDISON JET MANAGEMENT INC,I5JA,135,SW19 - North Texas FSDO (NTX),N2KK,560-5319,CE-560-560XL,Cessna
ADDISON JET MANAGEMENT INC,I5JA,135,SW19 - North Texas FSDO (NTX),N144CA,650-7004,CE-650-650,Cessna
ADDISON JET MANAGEMENT INC,I5JA,135,SW19 - North Texas FSDO (NTX),N619RX,405,LR-45-45,Bombardier (Learjet)
ADDISON JET MANAGEMENT INC,I5JA,135,SW19 - North Texas FSDO (NTX),N202JP,650-7046,CE-650-650,Cessna
"ADEX-ASG, LLC.",X5EA,135,SW19 - North Texas FSDO (NTX),N337WR,258273,BEECH-HAWKER-800,Hawker
"ADEX-ASG, LLC.",X5EA,135,SW19 - North Texas FSDO (NTX),N904RM,041,DASSAULT-FALCON-2000EX EASY,Dassault
ADVANCED AIR LLC,19AA,135,WP23 - Los Angeles (LAX),N124BL,525B0181,CE-525B-525B,Cessna
ADVANCED AIR LLC,19AA,135,WP23 - Los Angeles (LAX),N841AM,525B0084,CE-525B-525B,Cessna
ADVANCED AIR LLC,19AA,135,WP23 - Los Angeles (LAX),N88JJ,680-0277,CE-680,Cessna
ADVANCED AIR LLC,19AA,135,WP23 - Los Angeles (LAX),N286JR,20014,BD-100-1A10,Bombardier
ADVANCED AIR LLC,19AA,135,WP23 - Los Angeles (LAX),N332AR,20332,BD-100-1A10,Bombardier
ADVANCED PLACEMENT AVIATION LLC,3KPC,135,AL03 - Anchorage  (ANC),N9420R,U20606860,CE-206-U206G,Cessna
ADVANCED PLACEMENT AVIATION LLC,3KPC,135,AL03 - Anchorage  (ANC),N9992Z,U20606800,CE-206-U206G,Cessna
ADVANCED PLACEMENT AVIATION LLC,3KPC,135,AL03 - Anchorage  (ANC),N378S,U20604967,CE-206-TU206G,Cessna
ADVANCED PLACEMENT AVIATION LLC,3KPC,135,AL03 - Anchorage  (ANC),N388S,U20606838,CE-206-U206G,Cessna
Advantage  Flight Solutions LLC,V2FA,135,SW19 - North Texas FSDO (NTX),N450MM,560-0119,CE-560-560,Cessna
ADVENTURE AIR CHARTERS INC,AA3A,135,GL15 - Minneapolis (MSP),N185AS,18502950,CE-185-A185F,Cessna
"Adventure Airways, Inc",GFKA,135,AL05 - Juneau (JNU),N7558H,18503394,CE-185-A185F,Cessna
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N588RS,525B-0068,CE-525-525B,Cessna
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N464EG,525C-0117,CE-525-525C,Cessna
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N117AA,5060,CL-600-2B16,Bombardier
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N116AA,525B-0194,CE-525-525B,Cessna
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N233TJ,525-0525,CE-525-525B,Cessna
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N542LM,280,LR-35-A,Bombardier (Learjet)
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N93LE,592,LR-35-A,Bombardier (Learjet)
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N129CB,283,LR-45-45,Bombardier (Learjet)
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N174AA,525B-0196,CE-525-525B,Cessna
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N149WW,525B-0175,CE-525-525B,Cessna
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N557LM,379,LR-45-45,Bombardier (Learjet)
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N253AL,361,LR-45-45,Bombardier (Learjet)
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N559LM,286,LR-45-45,Bombardier (Learjet)
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N558LM,312,LR-45-45,Bombardier (Learjet)
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N171AA,412,CE-510-510,Cessna
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N394CM,394,CE-510-510,Cessna
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N465WG,510-465,CE-510-510,Cessna
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N897MD,525-1035,CE-525-525,Cessna
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N61HH,510-393,CE-510-510,Cessna
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N730CP,525-1040,CE-525-525,Cessna
Aero Air LLC,O9IA,135,NM09 - Portland (PDX),N910GF,425,CE-510-510,Cessna
Aero Charter Inc.,DGCA,135,CE03 - St. Louis (STL),N800GF,525A0038,CE-525A-525A,Cessna
Aero Charter Inc.,DGCA,135,CE03 - St. Louis (STL),N777LX,560-5736,CE-560-560XLS,Cessna
Aero Charter Inc.,DGCA,135,CE03 - St. Louis (STL),N157XL,560-6157,CE-560-560XLS+,Cessna
Aero Charter Inc.,DGCA,135,CE03 - St. Louis (STL),N787TY,560-6091,CE-560-560XLS+,Cessna
Aero Charter Inc.,DGCA,135,CE03 - St. Louis (STL),N7202,680-0501,CE-680,Cessna
Aero Charter Inc.,DGCA,135,CE03 - St. Louis (STL),N720DK,680-0216,CE-680,Cessna
AERO JET INTERNATIONAL DE PR INC,Q6JA,135,SO63 - San Juan (SJU),N403AJ,0305,CE-402-B,Cessna
AERO QUEST LLC,4U8A,135,SW31 - Jackson (JAN),N60397,10227,CE-172-S,Cessna
Aero S.E.A.T. Inc,3SEA,135,NM03 - Denver (DEN),N2749K,18053059,CE-180-K,Cessna
AERO WAYS INC,WY1A,135,EA17 - Philadelphia (PHL),N409DJ,525B-0311,CE-525B-525B,Cessna
AERO WAYS INC,WY1A,135,EA17 - Philadelphia (PHL),N525NE,525B-0295,CE-525B-525B,Cessna
AERO WAYS INC,WY1A,135,EA17 - Philadelphia (PHL),N316KA,525C-0377,CE-525C-525C,Cessna
AERO WAYS INC,WY1A,135,EA17 - Philadelphia (PHL),N311VU,680A0022,CE-680A,Cessna
AERO WAYS INC,WY1A,135,EA17 - Philadelphia (PHL),N588HP,288,DASSAULT-FALCON-900EX,Dassault
"AEROCAPITAL FLIGHT SERVICES, LLC",O09A,135,SO09 - Alabama & NW Florida (BHM),N508KD,560-0147,CE-560-560,Cessna
"AEROCAPITAL FLIGHT SERVICES, LLC",O09A,135,SO09 - Alabama & NW Florida (BHM),N900PS,560-0118,CE-560-560,Cessna
"AEROCAPITAL FLIGHT SERVICES, LLC",O09A,135,SO09 - Alabama & NW Florida (BHM),N72SG,560-5508,CE-560-560XL,Cessna
"Aero-Copters of Arizona, Inc.",DQBA,135,WP19 - Nevada (NEV),N5193U,206-0193,CE-206-206,Cessna
"AeroDynamic Jets, LLC",L99A,135,NM11 - Boise (BOI ),N125DG,0060,CE-525B,Cessna
"AeroDynamic Jets, LLC",L99A,135,NM11 - Boise (BOI ),N460WS,0727,CE-525B,Cessna
"Aeroflight Academy of Aviation, Inc.",TVDA,135,NM01 - Seattle (SEA),N98186,17276265,CE-172-P,Cessna
AEROMEDEVAC INC,F09A,135,WP09 - San Diego (SAN),N747CP,35A-502,LR-35-A,Bombardier (Learjet)
AEROMEDEVAC INC,F09A,135,WP09 - San Diego (SAN),N1926S,180,LR-31-A,Bombardier (Learjet)
AERO-TECH SERVICES INC,O3TA,135,EA13 - Harrisburg (HAR),N63DZ,45-276,LR-45-45,Bombardier (Learjet)
AERO-TECH SERVICES INC,O3TA,135,EA13 - Harrisburg (HAR),N145PJ,45-383,LR-45-45,Bombardier (Learjet)
AERY AVIATION LLC,SAOA,135,SO11 - Atlanta (ATL),N340SR,2043,LR-45-40,Bombardier (Learjet)
"Air & Opportunity Aviation, LLC",AOFA,135,EA21 - Richmond (RIC),N206K,U206-1333,CE-206-U206D,Cessna
"Air Associates Charter, Inc.",ZE5A,135,CE05 - Kansas City (MCI),N372SC,373,LR-60-60XR,Bombardier (Learjet)
"Air Associates Charter, Inc.",ZE5A,135,CE05 - Kansas City (MCI),N1LF,525B0359,CE-525B-525B,Cessna
AIR BUSINESS LLC,WD6A,135,GL05 - Cincinnati (CVG),N8288R,525-0348,CE-525-525,Cessna
"AIR CARGO CARRIERS, LLC",DATA,135,GL13 - Milwaukee (MKE),N215TA,208B0447,CE-208-B,Cessna
"AIR CARGO CARRIERS, LLC",DATA,135,GL13 - Milwaukee (MKE),N415TG,208B0089,CE-208-B,Cessna
"AIR CARGO CARRIERS, LLC",DATA,135,GL13 - Milwaukee (MKE),N600TG,208B0363,CE-208-B,Cessna
"Air Center Helicopters, Inc.",MHNA,135,SW19 - North Texas FSDO (NTX),N550TH,100,DASSAULT-FALCON-900EX,Dassault
"Air Charter Service, Inc",E8BA,135,EA25 - Teterboro (TEB),N211GS,55-21,LR-55-55,Bombardier (Learjet)
"Air Direct, LLC",EDAA,135,SW19 - North Texas FSDO (NTX),N560AD,560-5239,CE-560-560XL,Cessna
"Air Exec, Inc.",CSSA,135,CE01 - Des Moines (DSM),N9923F,310Q0722,CE-310-Q,Cessna
"Air Flight, Inc.",AFWA,135,SO19 - Miami (MIA FSDO),N55LP,402C0401,CE-402-C,Cessna
"Air Flight, Inc.",AFWA,135,SO19 - Miami (MIA FSDO),N322HA,402C-0418,CE-402-C,Cessna
"Air Gato Enterprises, Inc.",J72A,135,SO35 - Tampa (TPA),N989AW,55-019,LR-55-55,Bombardier (Learjet)
"Air Gato Enterprises, Inc.",J72A,135,SO35 - Tampa (TPA),N257SJ,55-118,LR-55-55,Bombardier (Learjet)
"Air Gato Enterprises, Inc.",J72A,135,SO35 - Tampa (TPA),N453AM,453,LR-35-A,Bombardier (Learjet)
"Air Gato Enterprises, Inc.",J72A,135,SO35 - Tampa (TPA),N389AW,157,LR-35-A,Bombardier (Learjet)
"Air Gato Enterprises, Inc.",J72A,135,SO35 - Tampa (TPA),N312LG,489,LR-35-A,Bombardier (Learjet)
"Air Gato Enterprises, Inc.",J72A,135,SO35 - Tampa (TPA),N310PJ,310,LR-35-A,Bombardier (Learjet)
"Air Gato Enterprises, Inc.",J72A,135,SO35 - Tampa (TPA),N289AW,628,LR-35-A,Bombardier (Learjet)
Air Grand Canyon Inc.,EKBA,135,WP19 - Nevada (NEV),N189JA,18259569,CE-182-M,Cessna
"AIR MED SERVICES, LLC",XMEA,135,SW03 - Baton Rouge (BTR),N599TA,212,LR-45-45,Bombardier (Learjet)
AIR MEDICAL CHARTERS LLC,8AMA,135,SO19 - Miami (MIA FSDO),N155ER,098,LR-55-55,Bombardier (Learjet)
"AIR NEW ENGLAND, LLC.",5NEA,135,EA65 - Portland (PWM),N1RS,510-0105,CE-510-510,Cessna
"Air Rutter International, LLC",K55A,135,WP05 - Long Beach (LGB),N80AK,9231,BD-700-1A11,Bombardier
"Air Rutter International, LLC",K55A,135,WP05 - Long Beach (LGB),N310VZ,20366,BD-100-1A10,Bombardier
"Air Rutter International, LLC",K55A,135,WP05 - Long Beach (LGB),N60GF,77,LR-60-60,Bombardier (Learjet)
"Air Rutter International, LLC",K55A,135,WP05 - Long Beach (LGB),N900XP,HA-0062,HAWKER-900XP,Hawker
"Air Rutter International, LLC",K55A,135,WP05 - Long Beach (LGB),N527NP,750-0231,CE-750-750,Cessna
"Air Rutter International, LLC",K55A,135,WP05 - Long Beach (LGB),N595AB,680-0090,CE-680,Cessna
"Air Rutter International, LLC",K55A,135,WP05 - Long Beach (LGB),N369FG,0255,CE-680,Cessna
AIR STAT INC,Y4KA,135,SO11 - Atlanta (ATL),N577XW,560-0083,CE-560-560,Cessna
AIR TRANSIT SOLUTIONS LLC,Y5TA,135,SW17 - San Antonio (SAT),N12129,17261827,CE-172-M,Cessna
"Air Trek, Inc.",FDIA,135,SO35 - Tampa (TPA),N644AT,650-0072,CE-650-CITATION III,Cessna
"Air Trek, Inc.",FDIA,135,SO35 - Tampa (TPA),N611AT,650-0143,CE-650-CITATION III,Cessna
"Air Trek, Inc.",FDIA,135,SO35 - Tampa (TPA),N650AT,650-7035,CE-650-CITATION VII,Cessna
"Air Trek, Inc.",FDIA,135,SO35 - Tampa (TPA),N637AT,550-0371,CE-550-550,Cessna
"Air Trek, Inc.",FDIA,135,SO35 - Tampa (TPA),N2690T,414A-0408,CE-414-A,Cessna
"Air Trek, Inc.",FDIA,135,SO35 - Tampa (TPA),N499AT,414A-0306,CE-414-A,Cessna
Air Z Flying Service Inc,ZFDA,135,GL25 - Cleveland (CLE),N1908G,310R0055,CE-310-T310R,Cessna
Air Z Flying Service Inc,ZFDA,135,GL25 - Cleveland (CLE),N3938G,340A0239,CE-340-A,Cessna
AIRA AVIATION LLC,1R4A,135,GL23 - Detroit  (DTW),N80GM,550-0147,CE-550-550,Cessna
AIRA AVIATION LLC,1R4A,135,GL23 - Detroit  (DTW),N64043,17264981,CE-172-M,Cessna
"AIRBORRN AVIATION SERVICES, LLC",70RA,135,WP17 - Fresno (FAT),N736JY,R1722575,CE-172-R172K,Cessna
"Airbrock Management & Charter Services, Inc.",1BMA,135,SO15 - Orlando (ORL FSDO),N383MV,258403,HAWKER-800XP-800XP,Hawker
"Airbrock Management & Charter Services, Inc.",1BMA,135,SO15 - Orlando (ORL FSDO),N804JM,258467,HAWKER-800XP-800XP,Hawker
AIRCHARTERS WORLDWIDE INC,9WCA,135,SO19 - Miami (MIA FSDO),N750FA,HB-20,HAWKER-750-750,Hawker
AIRCRAFT CHARTER SERVICES INC,A59A,135,GL09 - Grand Rapids (GRR),N85HA,560-6183,CE-560-560XLS+,Cessna
AIRCRAFT CHARTER SERVICES INC,A59A,135,GL09 - Grand Rapids (GRR),N856AC,560-0656,CE-560-ENCORE,Cessna
AIRCRAFT CHARTER SERVICES INC,A59A,135,GL09 - Grand Rapids (GRR),N853AC,560-0774,CE-560-ENCORE+,Cessna
AIRCRAFT CHARTER SERVICES INC,A59A,135,GL09 - Grand Rapids (GRR),N855AC,560-5720,CE-560-560XLS,Cessna
Aircraft Evaluation & Management Inc.,4EMA,135,EA23 - Rochester (ROC),N94HA,02,DASSAULT-FALCON-2000EX,Dassault
Aircraft Evaluation & Management Inc.,4EMA,135,EA23 - Rochester (ROC),N63FS,132,DASSAULT-FALCON-2000,Dassault
Aircraft Evaluation & Management Inc.,4EMA,135,EA23 - Rochester (ROC),N45EG,27,DASSAULT-FALCON-2000,Dassault
Aircraft Evaluation & Management Inc.,4EMA,135,EA23 - Rochester (ROC),N353HA,650-0109,CE-650-CITATION III,Cessna
Aircraft Evaluation & Management Inc.,4EMA,135,EA23 - Rochester (ROC),N83HA,560-0487,CE-560-560,Cessna
Aircraft Evaluation & Management Inc.,4EMA,135,EA23 - Rochester (ROC),N413HA,147,DASSAULT-FALCON-2000,Dassault
Aircraft Evaluation & Management Inc.,4EMA,135,EA23 - Rochester (ROC),N36HA,96,DASSAULT-FALCON-2000,Dassault
Aircraft Evaluation & Management Inc.,4EMA,135,EA23 - Rochester (ROC),N575HA,650-7009,CE-650-CITATION VII,Cessna
Aircraft Evaluation & Management Inc.,4EMA,135,EA23 - Rochester (ROC),N53HA,650-7076,CE-650-CITATION VII,Cessna
AIRCRAFT MANAGEMENT GROUP INC,3CMA,135,EA03 - Allegheny (AGC),N933MR,560-6126,CE-560-560XLS+,Cessna
AIRCRAFT MANAGEMENT GROUP INC,3CMA,135,EA03 - Allegheny (AGC),N524DM,560XL-6090,CE-560-560XLS+,Cessna
AIRCRAFT MANAGEMENT GROUP INC,3CMA,135,EA03 - Allegheny (AGC),N802LE,525B-0299,CE-525B,Cessna
AIRCRAFT MANAGEMENT GROUP INC,3CMA,135,EA03 - Allegheny (AGC),N824DM,0243,CE-680-680,Cessna
AIRCRAFT MANAGEMENT GROUP INC,3CMA,135,EA03 - Allegheny (AGC),N275BS,CE-680A-0007,CE-680A,Cessna
AIRCRAFT MANAGEMENT GROUP INC,3CMA,135,EA03 - Allegheny (AGC),N1980R,HA-0070,HAWKER-900XP,Hawker
"AIRCRAFT MANAGEMENT SERVICES, INC.",AMSA,135,SO09 - Alabama & NW Florida (BHM),N878SP,421B0634,CE-421-B,Cessna
"Aircraft Services Group, Inc.",XGCA,135,EA25 - Teterboro (TEB),N302LT,20157,BD-100-1A10,Bombardier
"Aircraft Services Group, Inc.",XGCA,135,EA25 - Teterboro (TEB),N2020,525C-0295,CE-525C-525C,Cessna
"Aircraft Services Group, Inc.",XGCA,135,EA25 - Teterboro (TEB),N858RM,550-0914,CE-550-B,Cessna
"Aircraft Services Group, Inc.",XGCA,135,EA25 - Teterboro (TEB),N812JD,5327,CL600 2B16-604,Bombardier
"Aircraft Services Group, Inc.",XGCA,135,EA25 - Teterboro (TEB),N613JR,6070,CL600 2B16-650,Bombardier
"Aircraft Services Group, Inc.",XGCA,135,EA25 - Teterboro (TEB),N408LS,167,DASSAULT-FALCON-2000EX EASY,Dassault
"Aircraft Services Group, Inc.",XGCA,135,EA25 - Teterboro (TEB),N926RC,166,DASSAULT-FALCON-2000,Dassault
"AirDialog, LLC",L41A,135,SW01 - Albuquerque (ABQ),N935FE,208B0035,CE-208-B,Cessna
"AirDialog, LLC",L41A,135,SW01 - Albuquerque (ABQ),N960FE,208B0075,CE-208-B,Cessna
"AirDialog, LLC",L41A,135,SW01 - Albuquerque (ABQ),N992FE,208B0128,CE-208-B,Cessna
"AirDialog, LLC",L41A,135,SW01 - Albuquerque (ABQ),N828FE,208B0122,CE-208-B,Cessna
"AirDialog, LLC",L41A,135,SW01 - Albuquerque (ABQ),N850FE,208B0164,CE-208-B,Cessna
"AirDialog, LLC",L41A,135,SW01 - Albuquerque (ABQ),N918FE,208B0018,CE-208-B,Cessna
"AirFlair, Inc",CQXA,135,CE01 - Des Moines (DSM),N425DD,425-0083,CE-425-425,Cessna
"AirFlair, Inc",CQXA,135,CE01 - Des Moines (DSM),N10FZ,425-0117,CE-425-425,Cessna
"AirFlair, Inc",CQXA,135,CE01 - Des Moines (DSM),N603DW,550-1109,CE-550-550,Cessna
"AirFlair, Inc",CQXA,135,CE01 - Des Moines (DSM),N74RF,425-0153,CE-425-425,Cessna
"Airgate Aviation, Inc",1AGA,135,SO15 - Orlando (ORL FSDO),N11BN,414A0311,CE-414-A,Cessna
"Airgate Aviation, Inc",1AGA,135,SO15 - Orlando (ORL FSDO),N2735J,414A0466,CE-414-A,Cessna
"Airgate Aviation, Inc",1AGA,135,SO15 - Orlando (ORL FSDO),N5680C,414A0218,CE-414-A,Cessna
"AIRMED INTERNATIONAL, LLC",MDGA,135,SO09 - Alabama & NW Florida (BHM),N864AM,258733,HAWKER-800XP-800XP,Hawker
"AIRMED INTERNATIONAL, LLC",MDGA,135,SO09 - Alabama & NW Florida (BHM),N823AM,258687,HAWKER-800XP-800XP,Hawker
"AIRMED INTERNATIONAL, LLC",MDGA,135,SO09 - Alabama & NW Florida (BHM),N10UH,550B-0925,CE-550-B,Cessna
AirNet II LLC,2NEA,135,GL07 - Columbus (CMH),N352CK,313,LR-35-A,Bombardier (Learjet)
AirNet II LLC,2NEA,135,GL07 - Columbus (CMH),N353CK,081,LR-35-A,Bombardier (Learjet)
AirNet II LLC,2NEA,135,GL07 - Columbus (CMH),N354CK,353,LR-35-A,Bombardier (Learjet)
AirNet II LLC,2NEA,135,GL07 - Columbus (CMH),N35WL,438,LR-35-A,Bombardier (Learjet)
AirNet II LLC,2NEA,135,GL07 - Columbus (CMH),N644CK,644,LR-35-A,Bombardier (Learjet)
AirNet II LLC,2NEA,135,GL07 - Columbus (CMH),N295CK,295,LR-35-A,Bombardier (Learjet)
AirNet II LLC,2NEA,135,GL07 - Columbus (CMH),N76CK,076,LR-35-A,Bombardier (Learjet)
AirNet II LLC,2NEA,135,GL07 - Columbus (CMH),N220CK,120,LR-35-A,Bombardier (Learjet)
AirNet II LLC,2NEA,135,GL07 - Columbus (CMH),N290CK,090,LR-35-A,Bombardier (Learjet)
